,id_ccaa,anio,mes,valor
636,8742,2021,Enero,648143.584
637,8742,2021,Febrero,576433.134
638,8742,2021,Marzo,640601.157
639,8742,2021,Abril,615594.768
640,8742,2021,Mayo,638221.977
641,8742,2021,Junio,637990.222
642,8742,2021,Julio,702057.86
643,8742,2021,Agosto,728446.23
644,8742,2021,Septiembre,724325.74
645,8742,2021,Octubre,734306.806
646,8742,2021,Noviembre,703556.805
647,8742,2021,Diciembre,719893.229
648,21,2021,Enero,833740.735
649,21,2021,Febrero,704966.713
650,21,2021,Marzo,757147.666
651,21,2021,Abril,706783.625
652,21,2021,Mayo,730774.566
653,21,2021,Junio,757175.204
654,21,2021,Julio,905457.514
655,21,2021,Agosto,901082.855
656,21,2021,Septiembre,793300.95
657,21,2021,Octubre,707168.96
658,21,2021,Noviembre,723781.406
659,21,2021,Diciembre,781601.118
660,20,2021,Enero,146298.76
661,20,2021,Febrero,129503.338
662,20,2021,Marzo,144652.408
663,20,2021,Abril,129506.033
664,20,2021,Mayo,130651.022
665,20,2021,Junio,128050.949
666,20,2021,Julio,140864.511
667,20,2021,Agosto,130850.035
668,20,2021,Septiembre,133323.629
669,20,2021,Octubre,135918.94
670,20,2021,Noviembre,140846.25
671,20,2021,Diciembre,141258.077
672,8744,2021,Enero,18538.656
673,8744,2021,Febrero,15215.238
674,8744,2021,Marzo,15340.218
675,8744,2021,Abril,15128.393
676,8744,2021,Mayo,15515.205
677,8744,2021,Junio,15653.908
678,8744,2021,Julio,17409.528
679,8744,2021,Agosto,17829.99
680,8744,2021,Septiembre,16921.593
681,8744,2021,Octubre,16448.789
682,8744,2021,Noviembre,16035.752
683,8744,2021,Diciembre,16848.583
